"","ATB_PositiveExposure.1","ATB_PositiveExposure.2","ATB_PositiveExposure.3","ATB_PositiveExposure.4","ATB_PositiveExposure.5","ATB_PositiveExposure.6","ATB_PositiveExposure.7","ATB_PositiveExposure.8","ATB_PositiveExposure.9","ATB_PositiveExposure.10","ATB_NegativeExposure.1","ATB_NegativeExposure.2","ATB_NegativeExposure.3","ATB_NegativeExposure.4","ATB_NegativeExposure.5","ATB_NegativeExposure.6","ATB_NegativeExposure.7","ATB_NegativeExposure.8","ATB_Trade.Offs.1","ATB_Trade.Offs.2","ATB_Trade.Offs.3","ATB_Trade.Offs.4","ATB_Trade.Offs.5","ATB_Trade.Offs.6","ATB_Nurturance.1","ATB_Nurturance.2","ATB_Nurturance.3","ATB_Nurturance.4","ATB_Nurturance.5","ATB_Nurturance.6","ATB_FemaleRoleBeliefs.1","ATB_FemaleRoleBeliefs.2","ATB_FemaleRoleBeliefs.3","ATB_FemaleRoleBeliefs.4","ABS_total_mean","ABS_total_sd","ABS_PositiveExp_mean","ABS_PositiveExp_sd","ABS_NegativeExp_mean","ABS_NegativeExp_sd","ABS_TradeOffs_mean","ABS_TradeOffs_sd","ABS_Nurturance_mean","ABS_Nurturance_sd","ABS_RoleBelief_mean","ABS_RoleBelief_sd"
"184",1,1,1,1,1,3,1,1,1,1,1,2,1,1,4,4,1,5,1,2,1,2,1,1,3,2,4,1,1,1,2,1,2,1,1.67647058823529,1.12062180345622,1.2,0.632455532033676,2.375,1.68501801601221,1.33333333333333,0.516397779494322,2,1.26491106406735,1.5,0.577350269189626
"185",1,1,1,1,1,1,1,1,1,1,4,2,5,5,5,5,5,5,4,5,4,4,4,5,1,4,4,1,1,1,1,1,1,1,2.58823529411765,1.7942272255482,1,0,4.5,1.0690449676497,4.33333333333333,0.516397779494322,2,1.54919333848297,1,0
"186",1,1,1,1,1,1,1,1,1,1,4,4,3,3,4,4,4,5,1,4,5,5,4,3,1,2,3,1,1,1,1,5,4,4,2.52941176470588,1.58085696203131,1,0,3.875,0.640869944461656,3.66666666666667,1.50554530541816,1.5,0.836660026534076,3.5,1.73205080756888
"187",1,1,1,1,1,1,1,1,1,1,5,2,4,5,5,5,2,4,3,3,4,3,4,2,5,1,5,1,1,1,5,5,5,5,2.79411764705882,1.75429191041624,1,0,4,1.30930734141595,3.16666666666667,0.752772652709081,2.33333333333333,2.06559111797729,5,0
"188",4,4,4,4,4,3,3,3,2,4,4,2,1,1,2,2,1,1,1,2,2,3,3,2,4,3,4,4,4,4,3,2,3,2,2.79411764705882,1.09487543956561,3.5,0.707106781186548,1.75,1.03509833901353,2.16666666666667,0.752772652709081,3.83333333333333,0.408248290463863,2.5,0.577350269189626
"189",4,4,3,4,4,3,2,1,2,2,4,2,2,4,5,5,2,4,5,5,5,5,4,5,5,4,4,3,4,2,1,1,1,1,3.29411764705882,1.42551238559941,2.9,1.10050493461461,3.5,1.30930734141595,4.83333333333333,0.408248290463863,3.66666666666667,1.03279555898864,1,0
"190",2,2,2,3,3,2,2,2,2,4,4,2,3,4,4,4,2,4,2,4,4,4,4,4,3,3,5,3,3,4,1,1,1,1,2.88235294117647,1.12181416606001,2.4,0.699205898780101,3.375,0.916125381312904,3.66666666666667,0.816496580927726,3.5,0.836660026534076,1,0
"191",3,1,1,2,4,4,1,1,1,4,2,2,1,1,4,4,1,4,1,4,4,5,4,2,3,4,4,1,4,4,1,1,1,1,2.5,1.44074896347614,2.2,1.3984117975602,2.375,1.40788595317336,3.33333333333333,1.50554530541816,3.33333333333333,1.211060141639,1,0
"192",4,4,2,3,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,4,3,4,4,2,1,2,2,2.64705882352941,0.812118551622534,3.2,0.632455532033676,2,0,2.33333333333333,0.516397779494322,3.5,0.547722557505166,1.75,0.5
"193",2,2,1,2,2,2,2,2,2,2,2,2,2,2,5,4,3,2,2,3,4,4,5,2,3,4,5,2,3,3,1,1,1,2,2.52941176470588,1.13445472465041,1.9,0.316227766016838,2.75,1.16496474502144,3.33333333333333,1.211060141639,3.33333333333333,1.03279555898864,1.25,0.5
